12,552.5,5081.7,100.5,33174.2
11,554.5,4325.1,91.3,33405.7
10,577.5,3969.5,87.9,32486.8
9,586.5,4149.6,95.3,31414.1
8,586,4128.5,88.3,31602
7,601,3662.5,86.9,29414.1
6,595,4051.9,96.7,30174.2
5,611.875,3830.6,101.2,31239.4
4,625.625,3886.2,103.5,29429
3,627,4159.7,102.7,29835.3
2,597.5,3552.7,97.6,31239.4
1,590.5,3709.7,96.9,30513.1
